################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.3963050705474026E-02   5.5963027476041399E-02   3.0438609095262355E-02   5.2804234980570759E-03
         1          2   1.1831959909225748E-01   1.8994762196941573E-01   1.5543764662449266E-01   8.6731472255238366E-03
         1          3   1.1850151245945063E-01   2.9800015736974755E-01   1.9825602699194547E-01   2.2507292690164153E-02
         1          4   3.1563582964485837E-01   4.9572726182844540E-01   3.9592726462441469E-01   2.5416259310035105E-02
         1          5   3.8453536786653847E-01   8.4501982204538073E-01   6.0833301015728225E-01   5.9696235316249319E-02
         1          6   3.0590588238795385E-01   5.5782177910579278E-01   4.7202804115117791E-01   3.3561825422123596E-02
         1          7   6.6469041060878242E-01   1.1998579670208269E+00   9.7279526551287854E-01   6.3119832823944996E-02
         1          8   2.9993224212890646E-01   4.8651588477036040E-01   3.7384757199153223E-01   2.3672929524268863E-02
         1          9   7.8678914729232419E-01   1.2790469959264725E+00   9.6499658328420390E-01   5.0014270122583408E-02
         1         10   2.7153700401255637E-01   5.7652969035700130E-01   4.0968745435551424E-01   3.5975606915376782E-02
         1         11   6.9910820041911048E-01   1.1819984754288393E+00   9.1587140414998747E-01   5.5417350529790826E-02
         1         12   3.8297348714763269E-01   6.9013168909398637E-01   4.9919662411868654E-01   3.2196348860590834E-02
         1         13   6.8893846588098373E-01   9.9497979079225984E-01   8.3550487085211156E-01   3.8909404805405938E-02
         1         14   3.0740548929982653E-01   5.2362945997862731E-01   4.1295272443788034E-01   2.5063287296962420E-02
         1         15   4.2016099740527413E-01   6.0431350138373963E-01   5.1005232415619550E-01   2.3680424477933223E-02
         1         16   1.8456793127549501E-01   3.0522452142100676E-01   2.4916656968899134E-01   1.5181191455545957E-02
         1         17   1.5884692300907508E-01   2.4284415770090001E-01   1.9594260251309609E-01   1.1579801783758182E-02
         1         18   7.5431124083047307E-02   1.3207203730019432E-01   1.0448253044716635E-01   7.7885282747894944E-03
         1         19   3.6799432441815320E-02   5.8969607039593148E-02   4.8107121949200540E-02   3.0564438933462570E-03
         1         20   1.8725157537738797E-02   3.3248735385691584E-02   2.6047668492515851E-02   2.0900012401296828E-03
         1         21   1.1001455702997908E-02   3.9180123735942644E-02   2.2431194289570626E-02   3.3302573602672159E-03
         1         22   2.3055236279736616E-02   6.6535824995567247E-02   4.2390157382326370E-02   5.5014938661214182E-03
         1         23   7.3652948522659970E-03   2.6787683090983991E-02   1.6792521632245472E-02   2.6142237195739032E-03
         1         24   3.6347132970197218E-02   8.8325519577653347E-02   5.8664966939961143E-02   6.1237595418120018E-03
         1         25   1.1880880648094962E-01   2.1711810569579928E-01   1.6588567741944851E-01   1.2185773644707252E-02
         1         26   8.7703418331033633E-03   2.0106959842260526E-02   1.4040711295284248E-02   1.6048185284362729E-03
         1         27   1.6853253297568779E-03   1.0222180529444954E-02   5.0641807731253343E-03   1.1055659889260463E-03
         1         28   5.3299899747823254E-03   2.9394914347141813E-02   1.6277434327013188E-02   3.1035031121807821E-03
         1         29   3.6772503158159220E-03   2.1398281541652363E-02   1.2238633214123383E-02   2.4126736340087190E-03
         1         30   2.2021069298945210E-02   4.8434561276130203E-02   3.3773846575751811E-02   3.2848020860238164E-03
         1         31   8.6614021227388954E-02   1.5442850852601583E-01   1.2162586519063766E-01   8.8580053238029432E-03
         1         32   4.2416596709858685E-03   1.0379641214035826E-02   7.1681084699942738E-03   8.8156412098741317E-04
         2          1   2.6033681722607238E-01   3.6256250004978541E-01   3.1087529324898422E-01   1.3620712657651964E-02
         2          2   5.5348186886998816E-05   9.8815601504387372E-04   3.2082493678916386E-04   1.1871128765262035E-04
         2          3   6.7581536979708823E-01   9.1537215287231011E-01   7.9185452924882949E-01   3.4634613786433469E-02
         2          4   2.2810084159206557E-03   2.0726364617973968E-02   8.7848451518418129E-03   2.4922099914704465E-03
         2          5   7.7035400743590776E-01   1.0706191900152906E+00   9.4405608230235560E-01   4.5374641784828952E-02
         2          6   3.5103096296039471E-02   1.6487308190383218E-01   9.0682466170536075E-02   1.8255866359634547E-02
         2          7   6.3339134339608250E-01   9.2796228011405413E-01   7.4769514398306403E-01   3.4323610054530523E-02
         2          8   1.9425960808484291E-01   5.0305087420363048E-01   3.5494322587588278E-01   4.2665098780674204E-02
         2          9   6.1602754688248929E-01   1.0877925586435906E+00   8.1937490871102869E-01   5.5676949060444708E-02
         2         10   4.2407410474403295E-01   6.4149585524214892E-01   5.4568473166745457E-01   2.2809753467747770E-02
         2         11   8.3189587763426820E-01   1.2000737759127953E+00   9.9839324823737152E-01   4.8815646299072424E-02
