################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.7538264446607030E-01 a         1     0     1     1     1
 -2.1382851995586466E-01 a         2     0     1     1     2
 -2.2870283435438177E-01 a         3     0     1     1     3
  1.6884903554043934E-01 a         4     0     1     1     4
 -2.4158405112021546E-02 a         5     0     1     1     5
 -1.3435557314525728E-01 a         6     0     1     1     6
 -4.0383491523226123E-02 a         7     0     1     1     7
 -3.0416162277314701E-01 a         8     0     1     1     8
  1.4493427828464006E-01 a         9     0     1     1     9
  1.2970411375904448E-01 a        10     0     1     1    10
  1.2566921117840815E-01 a        11     0     1     1    11
  2.4049162797992865E-02 a        12     0     1     1    12
 -5.8750602021158324E-02 a        13     0     1     1    13
  2.4120076534098567E-01 a        14     0     1     1    14
 -3.6353530574769172E-01 a        15     0     1     1    15
 -3.3571557575264410E-01 a        16     0     1     1    16
 -4.1000395232582620E-01 a        17     0     1     1    17
 -2.4515952528068802E-01 a        18     0     1     1    18
 -3.7358966507444183E-04 a        19     0     1     1    19
 -2.4114154189964224E-01 a        20     0     1     1    20
  9.2903178008765241E-02 a        21     0     2     1     1
 -1.0669760258050431E-01 a        22     0     2     1     2
 -1.5992082734485955E-01 a        23     0     2     1     3
  3.4624235072134120E-03 a        24     0     2     1     4
  6.5222013178192095E-01 a        25     0     2     1     5
 -2.5496726305282302E-01 a        26     0     2     1     6
  1.7772541428825261E-01 a        27     0     2     1     7
  4.0249481038224016E-01 a        28     0     2     1     8
  3.8787071639035958E-01 a        29     0     2     1     9
 -1.3108518691191076E-01 a        30     0     2     1    10
  1.9926809034862455E-01 a        31     0     2     1    11
 -1.3969801768559245E-01 a        32     0     2     1    12
 -3.2391028119086657E-01 a        33     0     2     1    13
  1.9078569604528120E-01 a        34     0     2     1    14
  6.1343917957649624E-02 a        35     0     2     1    15
  5.3128475280594771E-02 a        36     0     2     1    16
 -3.5718072750657602E-02 a        37     0     2     1    17
  3.3360546707569910E-01 a        38     0     2     1    18
 -7.7931621620292574E-02 a        39     0     2     1    19
 -5.1032334789513556E-01 a        40     0     2     1    20
 -3.0913481883493443E-01 a        41     0     3     1     1
  1.1070453529118249E-01 a        42     0     3     1     2
  1.8153453403392619E-01 a        43     0     3     1     3
  1.5196089784721553E-01 a        44     0     3     1     4
  1.3926136415506971E-01 a        45     0     3     1     5
 -1.7314297836876519E-01 a        46     0     3     1     6
 -3.8623924527812388E-02 a        47     0     3     1     7
 -3.7072424874242982E-01 a        48     0     3     1     8
 -6.6305735780655239E-02 a        49     0     3     1     9
 -4.5770192836932172E-01 a        50     0     3     1    10
 -2.6826972154368328E-01 a        51     0     3     1    11
 -3.4786946548078634E-01 a        52     0     3     1    12
  1.2048555896034720E-01 a        53     0     3     1    13
  2.2761224897327417E-01 a        54     0     3     1    14
 -1.1637471735952512E-02 a        55     0     3     1    15
 -4.1601804222807942E-01 a        56     0     3     1    16
  1.6582168201775205E-02 a        57     0     3     1    17
  1.1351825218287112E-01 a        58     0     3     1    18
  1.9385711908377762E-01 a        59     0     3     1    19
 -1.3493604604399773E-01 a        60     0     3     1    20
  5.6209295009589530E-02 a        61     0     4     1     1
  2.0851424063285381E-02 a        62     0     4     1     2
  2.3049592057038501E-01 a        63     0     4     1     3
  2.1492455249678522E-01 a        64     0     4     1     4
 -2.7126006610927889E-01 a        65     0     4     1     5
  1.2617292056038837E-01 a        66     0     4     1     6
 -3.8537373066642028E-01 a        67     0     4     1     7
  2.7483550816177427E-01 a        68     0     4     1     8
 -4.5032067762451916E-01 a        69     0     4     1     9
  3.1316530753505517E-01 a        70     0     4     1    10
 -4.5141027416364216E-01 a        71     0     4     1    11
 -3.5398361553826191E-01 a        72     0     4     1    12
  3.5382283858064345E-01 a        73     0     4     1    13
  2.5084751461667965E-01 a        74     0     4     1    14
  1.2958193936275364E-01 a        75     0     4     1    15
 -1.2069460728608439E-01 a        76     0     4     1    16
 -1.3154283616718007E-01 a        77     0     4     1    17
 -2.9403324408182965E-02 a        78     0     4     1    18
  6.6108127701429903E-02 a        79     0     4     1    19
  5.7846157262844033E-01 a        80     0     4     1    20
  3.6284998851006300E-01 a        81     0     5     1     1
 -2.0016593113429987E-01 a        82     0     5     1     2
 -3.2814972365120565E-01 a        83     0     5     1     3
 -2.2642187611341888E-01 a        84     0     5     1     4
  3.2679093076432741E-01 a        85     0     5     1     5
  4.9766554714178884E-01 a        86     0     5     1     6
  4.3115297040491454E-02 a        87     0     5     1     7
 -9.4141113887999006E-02 a        88     0     5     1     8
  3.9333428053310571E-01 a        89     0     5     1     9
  2.1375280516009801E-02 a        90     0     5     1    10
  1.4914159880972824E-01 a        91     0     5     1    11
  2.0379550902730484E-01 a        92     0     5     1    12
 -2.4506690297066286E-01 a        93     0     5     1    13
 -3.6934183177752856E-02 a        94     0     5     1    14
 -4.6705872000998336E-02 a        95     0     5     1    15
  2.9922977935558492E-01 a        96     0     5     1    16
 -4.0108343362670384E-01 a        97     0     5     1    17
 -2.6041130968739812E-01 a        98     0     5     1    18
 -3.1008899230225506E-01 a        99     0     5     1    19
 -1.1725665452168620E-01 a       100     0     5     1    20
  1.7128831535529285E-01 a       101     0     6     1     1
 -2.5794346357158265E-01 a       102     0     6     1     2
 -4.0017343325576216E-02 a       103     0     6     1     3
  4.3251272874170486E-02 a       104     0     6     1     4
 -3.1787253815845140E-01 a       105     0     6     1     5
  6.2767985041304139E-02 a       106     0     6     1     6
 -6.8553479288952154E-02 a       107     0     6     1     7
 -1.0821967283473646E-01 a       108     0     6     1     8
  4.1183150029477068E-02 a       109     0     6     1     9
 -3.6888679163210358E-01 a       110     0     6     1    10
 -3.9785288579205164E-01 a       111     0     6     1    11
 -1.3828067408033859E-01 a       112     0     6     1    12
 -8.0337801996948288E-02 a       113     0     6     1    13
 -2.0392457296846654E-03 a       114     0     6     1    14
  2.8516132092668295E-01 a       115     0     6     1    15
 -1.5731007813281128E-02 a       116     0     6     1    16
 -3.0853757988118624E-01 a       117     0     6     1    17
 -2.1357355073261641E-01 a       118     0     6     1    18
  3.0259696751211357E-01 a       119     0     6     1    19
 -2.0891492449304405E-01 a       120     0     6     1    20
  2.0027679293779060E-01 a       121     0     7     1     1
 -8.7932943847180214E-02 a       122     0     7     1     2
  1.9485709189612188E-01 a       123     0     7     1     3
 -2.4634388730382931E-02 a       124     0     7     1     4
 -3.7268556206223234E-02 a       125     0     7     1     5
 -2.1875431747705482E-01 a       126     0     7     1     6
 -6.0332653627218943E-02 a       127     0     7     1     7
 -2.4744087095047738E-02 a       128     0     7     1     8
 -2.4723574099912554E-01 a       129     0     7     1     9
  1.3200385516376478E-01 a       130     0     7     1    10
  1.4096341020944933E-01 a       131     0     7     1    11
  2.5432839678327418E-01 a       132     0     7     1    12
  3.5598021341938096E-03 a       133     0     7     1    13
  4.0135324488727853E-01 a       134     0     7     1    14
  2.8194042827401339E-01 a       135     0     7     1    15
  3.1228379269100398E-01 a       136     0     7     1    16
  2.3201707943782823E-01 a       137     0     7     1    17
  3.0186144581585951E-02 a       138     0     7     1    18
 -1.1623904151630225E-01 a       139     0     7     1    19
  1.5938475040327926E-01 a       140     0     7     1    20
 -1.1352421114793221E-01 a       141     0     8     1     1
  1.5753831537214469E-01 a       142     0     8     1     2
  2.3048093493689004E-01 a       143     0     8     1     3
 -1.2766382512235849E-01 a       144     0     8     1     4
  1.8492260478405542E-01 a       145     0     8     1     5
  7.2311022024430169E-02 a       146     0     8     1     6
 -7.5874684989377023E-02 a       147     0     8     1     7
 -3.3789884537173071E-01 a       148     0     8     1     8
  1.6907174990863150E-01 a       149     0     8     1     9
  4.8740933886947563E-01 a       150     0     8     1    10
 -9.7214077507455671E-02 a       151     0     8     1    11
  1.9140140315029333E-01 a       152     0     8     1    12
 -1.4124967188422316E-02 a       153     0     8     1    13
 -1.5034600074736873E-01 a       154     0     8     1    14
  1.2499434986030590E-01 a       155     0     8     1    15
 -3.3547519914926777E-01 a       156     0     8     1    16
  1.4155492535099895E-01 a       157     0     8     1    17
 -1.6432054777227326E-01 a       158     0     8     1    18
 -8.0016368510250901E-02 a       159     0     8     1    19
  5.4488963498214346E-02 a       160     0     8     1    20
  2.5609156665388189E-01 a       161     0     9     1     1
 -3.1000131088039184E-01 a       162     0     9     1     2
 -3.5124354720760631E-01 a       163     0     9     1     3
 -3.0233844774817670E-01 a       164     0     9     1     4
  5.9352475294260777E-02 a       165     0     9     1     5
  3.1462953255430837E-01 a       166     0     9     1     6
 -2.1498705218688613E-01 a       167     0     9     1     7
 -3.6939212322778059E-01 a       168     0     9     1     8
  3.1273292748956150E-01 a       169     0     9     1     9
 -2.3152481663224977E-01 a       170     0     9     1    10
 -1.0134143904379221E-01 a       171     0     9     1    11
  1.6452835515707617E-01 a       172     0     9     1    12
 -1.5207954430564827E-01 a       173     0     9     1    13
  1.0646590417326438E-01 a       174     0     9     1    14
  9.1561583963503113E-02 a       175     0     9     1    15
